LocationName,LocationID,Latitude,Longitude,Year,Month,Day,ObservationType,Observation,Species,cultivar,descriptive,catagorical,numeral,location,freeze
Shirley Plantation,p0001,NA,NA,1818,February,NA,agriculture,sowing,clover,NA,unsuccessful,NA,,NA,
Shirley Plantation,p0001,NA,NA,1818,February,NA,operations,treating,NA,NA,gypsum,NA,,NA,
Shirley Plantation,p0001,NA,NA,1818,May,20,agriculture,harvesting,clover,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1818,June,8,agriculture,harvesting,wheat,unspecified,bushels,NA,1150,NA,
Shirley Plantation,p0001,NA,NA,1818,June,8,agriculture,pest,wheat,unspecified,fly,NA,,NA,
Shirley Plantation,p0001,NA,NA,1818,August,NA,operations,fallowing,NA,NA,NA,NA,,field A,
Shirley Plantation,p0001,NA,NA,1818,October,26,agriculture,sowing,wheat,unspecified,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1818,October,26,agriculture,sowing,wheat,may,bushels,NA,165,NA,
Shirley Plantation,p0001,NA,NA,1818,October,26,agriculture,sowing,wheat,purple straw,bushels,NA,50,NA,
Shirley Plantation,p0001,NA,NA,1818,October,26,agriculture,sowing,wheat,red,bushels,NA,50,NA,
Shirley Plantation,p0001,NA,NA,1818,May,21,agriculture,experimenting,wheat,unspecified,curing with salt,failed,,NA,
Shirley Plantation,p0001,NA,NA,1818,May,21,agriculture,experimenting,clover,NA,gypsum kept clover green during drought,NA,,NA,
Shirley Plantation,p0001,NA,NA,1818,May,21,agriculture,experimenting,wheat,unspecified,gypsum no effect on wheat,NA,,NA,
Shirley Plantation,p0001,NA,NA,1818,October,10,agriculture,sowing,wheat,NA,clover + wheat sowed together,experiment,,NA,
Shirley Plantation,p0001,NA,NA,1818,December,NA,agriculture,experimenting,wheat,NA,clover + wheat unsuccessful,experiment,,NA,
Shirley Plantation,p0001,NA,NA,1818,February,NA,agriculture,sowing,clover,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1818,October,8,agriculture,sowing,wheat,red,bushels,NA,70,NA,
Shirley Plantation,p0001,NA,NA,1818,NA,NA,weather,precipitation,NA,NA,summer,dry,,NA,
Shirley Plantation,p0001,NA,NA,1818,NA,NA,weather,precipitation,NA,NA,year,dry,,NA,
Shirley Plantation,p0001,NA,NA,1819,January,27,agriculture,sowing,clover,NA,NA,NA,,field A,
Shirley Plantation,p0001,NA,NA,1819,March,27,agriculture,sowing,wheat,chili,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1819,March,27,agriculture,sowing,wheat,salavera,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1819,March,10,agriculture,sowing,clover,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1819,May,24,agriculture,harvesting,clover,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1819,May,24,agriculture,phenology,NA,NA,no fruit this year,NA,,NA,
Shirley Plantation,p0001,NA,NA,1819,June,10,agriculture,harvesting,wheat,unspecified,very good wheat,NA,,NA,
Shirley Plantation,p0001,NA,NA,1819,August,3,agriculture,harvesting,wheat,unspecified,bushels,NA,3223,NA,
Shirley Plantation,p0001,NA,NA,1819,September,NA,operations,fallowing,NA,NA,NA,NA,,field B,
Shirley Plantation,p0001,NA,NA,1819,October,18,agriculture,sowing,wheat,purple straw,bushels,NA,50,NA,
Shirley Plantation,p0001,NA,NA,1819,October,21,agriculture,sowing,wheat,red,bushels,NA,50,NA,
Shirley Plantation,p0001,NA,NA,1819,October,28,agriculture,sowing,wheat,white may,bushels,NA,75,NA,
Shirley Plantation,p0001,NA,NA,1819,November,25,agriculture,harvesting,corn,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1820,April,10,operations,treating,clover,NA,NA,plastering,,NA,
Shirley Plantation,p0001,NA,NA,1820,April,18,operations,treating,clover,NA,NA,plastering,,NA,
Shirley Plantation,p0001,NA,NA,1820,May,10,agriculture,sowing,pumpkins,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1820,May,10,agriculture,sowing,peas,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1820,June,2,agriculture,harvesting,clover,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1820,June,15,agriculture,harvesting,wheat,unspecified,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1820,June,15,agriculture,pest,wheat,unspecified,destroyed,rust,,NA,
Shirley Plantation,p0001,NA,NA,1820,June,15,operations,plowing,wheat,unspecified,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1820,May,27,agriculture,pest,wheat,unspecified,found,rust,,NA,
Shirley Plantation,p0001,NA,NA,1820,October,12,agriculture,sowing,wheat,white may,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1820,November,3,agriculture,sowing,wheat,white may,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1820,February,18,agriculture,sowing,clover,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1820,March,28,agriculture,sowing,corn,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1820,March,29,agriculture,sowing,corn,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1820,March,30,agriculture,sowing,corn,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1820,March,31,agriculture,sowing,corn,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1820,April,1,agriculture,sowing,corn,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1820,April,2,agriculture,sowing,corn,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1820,April,3,agriculture,sowing,corn,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1820,April,4,agriculture,sowing,corn,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1820,May,8,agriculture,sowing,peas,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1820,May,9,agriculture,sowing,peas,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1820,May,10,agriculture,sowing,peas,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1820,May,11,agriculture,sowing,peas,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1820,May,12,agriculture,sowing,peas,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1820,May,13,agriculture,sowing,peas,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1820,May,14,agriculture,sowing,peas,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1820,May,15,agriculture,sowing,peas,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1820,May,16,agriculture,sowing,peas,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1820,May,17,agriculture,sowing,peas,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1820,May,18,agriculture,sowing,peas,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1820,May,19,agriculture,sowing,peas,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1820,May,20,agriculture,sowing,peas,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1820,May,21,agriculture,sowing,peas,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1820,May,22,agriculture,sowing,peas,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1820,May,23,agriculture,sowing,peas,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1820,May,24,agriculture,sowing,peas,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1820,May,25,agriculture,sowing,peas,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1820,May,26,agriculture,sowing,peas,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1820,May,27,agriculture,sowing,peas,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1820,May,28,agriculture,sowing,peas,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1820,May,29,agriculture,sowing,peas,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1820,May,30,agriculture,sowing,peas,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1820,May,8,agriculture,sowing,pumpkins,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1820,May,9,agriculture,sowing,pumpkins,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1820,May,10,agriculture,sowing,pumpkins,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1820,May,11,agriculture,sowing,pumpkins,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1820,May,12,agriculture,sowing,pumpkins,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1820,May,13,agriculture,sowing,pumpkins,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1820,May,14,agriculture,sowing,pumpkins,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1820,May,15,agriculture,sowing,pumpkins,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1820,May,16,agriculture,sowing,pumpkins,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1820,May,17,agriculture,sowing,pumpkins,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1820,May,18,agriculture,sowing,pumpkins,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1820,May,19,agriculture,sowing,pumpkins,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1820,May,20,agriculture,sowing,pumpkins,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1820,May,21,agriculture,sowing,pumpkins,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1820,May,22,agriculture,sowing,pumpkins,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1820,May,23,agriculture,sowing,pumpkins,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1820,May,24,agriculture,sowing,pumpkins,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1820,May,25,agriculture,sowing,pumpkins,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1820,May,26,agriculture,sowing,pumpkins,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1820,May,27,agriculture,sowing,pumpkins,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1820,May,28,agriculture,sowing,pumpkins,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1820,May,29,agriculture,sowing,pumpkins,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1820,May,30,agriculture,sowing,pumpkins,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1820,April,15,operations,treating,clover,NA,NA,plastering,,NA,
Shirley Plantation,p0001,NA,NA,1820,June,25,agriculture,harvesting,wheat,unspecified,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1821,March,2,agriculture,sowing,barley,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1821,March,20,agriculture,problem,barley,NA,NA,death,,NA,
Shirley Plantation,p0001,NA,NA,1821,April,20,agriculture,sowing,corn,hominy,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1821,March,2,operations,treating,corn,hominy,NA,plastering,,NA,
Shirley Plantation,p0001,NA,NA,1821,March,20,agriculture,sowing,oats,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1821,March,23,agriculture,sowing,clover,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1821,March,28,agriculture,sowing,wheat,unspecified,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1821,March,31,agriculture,sowing,pumpkins,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1821,March,31,weather,temperature,NA,NA,NA,nice,,NA,
Shirley Plantation,p0001,NA,NA,1821,April,20,agriculture,sowing,corn,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1821,May,11,agriculture,sowing,corn,hominy,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1821,May,14,agriculture,sowing,pumpkins,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1821,May,14,agriculture,sowing,beans,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1821,May,15,agriculture,sowing,peas,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1821,May,27,operations,treating,clover,NA,NA,plastering,,NA,
Shirley Plantation,p0001,NA,NA,1821,May,20,agriculture,harvesting,oats,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1821,August,10,agriculture,harvesting,potatoes,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1821,June,20,agriculture,harvesting,wheat,white may,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1821,June,25,agriculture,harvesting,wheat,purple straw,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1821,July,2,weather,precipitation,NA,NA,NA,long spell,,NA,
Shirley Plantation,p0001,NA,NA,1821,July,2,agriculture,problem,wheat,unspecified,NA,knock down,,NA,
Shirley Plantation,p0001,NA,NA,1821,July,3,weather,precipitation,NA,NA,NA,long spell,,NA,
Shirley Plantation,p0001,NA,NA,1821,July,4,weather,precipitation,NA,NA,NA,long spell,,NA,
Shirley Plantation,p0001,NA,NA,1821,July,5,weather,precipitation,NA,NA,NA,long spell,,NA,
Shirley Plantation,p0001,NA,NA,1821,July,6,weather,precipitation,NA,NA,NA,long spell,,NA,
Shirley Plantation,p0001,NA,NA,1821,July,9,agriculture,harvesting,wheat,unspecified,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1821,July,9,agriculture,problem,oats,NA,NA,knock down,,NA,
Shirley Plantation,p0001,NA,NA,1821,July,10,agriculture,harvesting,oats,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1821,July,17,agriculture,harvesting,clover,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1821,July,17,weather,precipitation,NA,NA,NA,rain,,NA,
Shirley Plantation,p0001,NA,NA,1821,July,26,agriculture,harvesting,clover,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1821,September,27,agriculture,harvesting,peas,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1821,October,10,agriculture,sowing,wheat,unspecified,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1821,May,14,agriculture,sowing,pumpkins,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1821,May,16,agriculture,sowing,peas,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1821,July,2,agriculture,harvesting,wheat,unspecified,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1821,July,2,weather,precipitation,NA,NA,NA,rain,,NA,
Shirley Plantation,p0001,NA,NA,1821,July,3,weather,precipitation,NA,NA,NA,rain,,NA,
Shirley Plantation,p0001,NA,NA,1821,July,4,weather,precipitation,NA,NA,NA,rain,,NA,
Shirley Plantation,p0001,NA,NA,1821,July,5,weather,precipitation,NA,NA,NA,rain,,NA,
Shirley Plantation,p0001,NA,NA,1821,July,6,weather,precipitation,NA,NA,NA,rain,,NA,
Shirley Plantation,p0001,NA,NA,1821,July,7,weather,precipitation,NA,NA,NA,rain,,NA,
Shirley Plantation,p0001,NA,NA,1821,July,8,weather,precipitation,NA,NA,NA,rain,,NA,
Shirley Plantation,p0001,NA,NA,1821,July,10,agriculture,harvesting,wheat,unspecified,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1821,July,11,agriculture,harvesting,oats,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1821,August,29,agriculture,harvesting,pumpkins,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1821,September,2,weather,precipitation,NA,NA,NA,rain,,NA,
Shirley Plantation,p0001,NA,NA,1821,October,10,agriculture,sowing,wheat,unspecified,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1822,January,10,operations,plowing,corn,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1822,March,1,weather,precipitation,NA,NA,NA,dry,,NA,
Shirley Plantation,p0001,NA,NA,1822,March,14,agriculture,sowing,oats,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1822,March,19,agriculture,sowing,clover,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1822,March,25,agriculture,sowing,clover,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1822,March,27,agriculture,sowing,potatoes,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1822,March,29,agriculture,sowing,clover,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1822,March,31,weather,hydrology,NA,NA,NA,drought,,NA,
Shirley Plantation,p0001,NA,NA,1822,April,3,agriculture,sowing,corn,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1822,April,7,weather,hydrology,NA,NA,NA,drought,,NA,
Shirley Plantation,p0001,NA,NA,1822,April,7,weather,hydrology,oats,NA,NA,drought,,NA,
Shirley Plantation,p0001,NA,NA,1822,April,7,weather,hydrology,clover,NA,NA,drought,,NA,
Shirley Plantation,p0001,NA,NA,1822,April,16,weather,precipitation,NA,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1822,April,17,agriculture,sowing,corn,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1822,April,18,weather,precipitation,NA,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1822,April,19,weather,precipitation,NA,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1822,April,20,weather,precipitation,NA,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1822,April,21,weather,temperature,NA,NA,NA,very cold,,NA,
Shirley Plantation,p0001,NA,NA,1822,April,22,operations,treating,clover,NA,NA,plastering,,NA,
Shirley Plantation,p0001,NA,NA,1822,April,22,weather,precipitation,NA,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1822,April,22,weather,temperature,NA,NA,NA,frost,,NA,freeze
Shirley Plantation,p0001,NA,NA,1822,April,25,operations,treating,clover,NA,NA,plastering,,NA,
Shirley Plantation,p0001,NA,NA,1822,May,1,agriculture,sowing,corn,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1822,May,4,agriculture,sowing,cotton,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1822,May,4,agriculture,sowing,beans,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1822,May,5,weather,precipitation,NA,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1822,May,6,operations,plowing,corn,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1822,May,6,agriculture,sowing,peas,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1822,May,5,agriculture,sowing,strawberries,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1822,May,9,weather,cloud cover,NA,NA,NA,cloudy,,NA,
Shirley Plantation,p0001,NA,NA,1822,May,9,weather,temperature,NA,NA,NA,warm,,NA,
Shirley Plantation,p0001,NA,NA,1822,May,10,weather,cloud cover,NA,NA,NA,cloudy,,NA,
Shirley Plantation,p0001,NA,NA,1822,May,10,weather,temperature,NA,NA,NA,cool,,NA,
Shirley Plantation,p0001,NA,NA,1822,May,11,agriculture,sowing,corn,hominy,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1822,May,10,agriculture,sowing,pumpkins,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1822,May,13,operations,plowing,corn,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1822,May,14,agriculture,replanting,corn,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1822,May,15,agriculture,weeding,corn,NA,NA,weeding,,NA,
Shirley Plantation,p0001,NA,NA,1822,May,16,agriculture,sowing,peas,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1822,May,17,weather,precipitation,NA,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1822,May,17,agriculture,weeding,corn,NA,NA,weeding,,NA,
Shirley Plantation,p0001,NA,NA,1822,May,19,weather,temperature,NA,NA,NA,warm,,NA,
Shirley Plantation,p0001,NA,NA,1822,May,20,agriculture,weeding,corn,NA,NA,weeding,,NA,
Shirley Plantation,p0001,NA,NA,1822,May,21,weather,temperature,NA,NA,NA,warm,,NA,
Shirley Plantation,p0001,NA,NA,1822,May,21,agriculture,weeding,corn,NA,NA,weeding,,NA,
Shirley Plantation,p0001,NA,NA,1822,May,22,weather,temperature,NA,NA,NA,warm,,NA,
Shirley Plantation,p0001,NA,NA,1822,May,22,weather,windy,NA,NA,NA,violent,,NA,
Shirley Plantation,p0001,NA,NA,1822,May,22,agriculture,replanting,cotton,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1822,May,23,weather,temperature,NA,NA,NA,warm,,NA,
Shirley Plantation,p0001,NA,NA,1822,May,23,agriculture,weeding,corn,NA,NA,weeding,,NA,
Shirley Plantation,p0001,NA,NA,1822,May,24,weather,temperature,NA,NA,NA,warm,,NA,
Shirley Plantation,p0001,NA,NA,1822,May,24,agriculture,weeding,corn,NA,NA,weeding,,NA,
Shirley Plantation,p0001,NA,NA,1822,May,25,weather,temperature,NA,NA,NA,cool,,NA,
Shirley Plantation,p0001,NA,NA,1822,May,25,agriculture,sowing,strawberries,NA,NA,NA,,NA,
Shirley Plantation,p0001,NA,NA,1822,May,25,agriculture,weeding,corn,NA,NA,weeding,,NA,
Shirley Plantation,p0001,NA,NA,1822,July,14,weather,temperature,NA,NA,NA,Fahrenheit,86,NA,
Shirley Plantation,p0001,NA,NA,1822,July,14,weather,precipitation,NA,NA,NA,little,,NA,
Shirley Plantation,p0001,NA,NA,1822,July,15,weather,temperature,NA,NA,NA,Fahrenheit,83,NA,
Shirley Plantation,p0001,NA,NA,1822,July,16,weather,temperature,NA,NA,NA,Fahrenheit,81,NA,
Shirley Plantation,p0001,NA,NA,1822,July,17,weather,temperature,NA,NA,NA,Fahrenheit,80,NA,
Shirley Plantation,p0001,NA,NA,1822,July,18,weather,temperature,NA,NA,NA,Fahrenheit,84,NA,
Shirley Plantation,p0001,NA,NA,1822,July,19,weather,temperature,NA,NA,NA,Fahrenheit,89,NA,
Shirley Plantation,p0001,NA,NA,1822,July,20,weather,temperature,NA,NA,NA,Fahrenheit,88,NA,
Shirley Plantation,p0001,NA,NA,1822,July,21,weather,temperature,NA,NA,NA,Fahrenheit,85,NA,
Shirley Plantation,p0001,NA,NA,1822,July,22,weather,temperature,NA,NA,NA,Fahrenheit,84,NA,
Shirley Plantation,p0001,NA,NA,1822,July,23,weather,temperature,NA,NA,NA,Fahrenheit,84,NA,
Shirley Plantation,p0001,NA,NA,1822,July,24,weather,temperature,NA,NA,NA,Fahrenheit,85,NA,
Shirley Plantation,p0001,NA,NA,1822,July,25,weather,temperature,NA,NA,NA,Fahrenheit,82,NA,
Shirley Plantation,p0001,NA,NA,1822,July,26,weather,temperature,NA,NA,NA,Fahrenheit,81,NA,
Shirley Plantation,p0001,NA,NA,1822,July,27,weather,temperature,NA,NA,NA,Fahrenheit,82,NA,
Shirley Plantation,p0001,NA,NA,1822,July,28,weather,temperature,NA,NA,NA,Fahrenheit,84,NA,
Shirley Plantation,p0001,NA,NA,1822,July,29,weather,temperature,NA,NA,NA,Fahrenheit,83,NA,
Shirley Plantation,p0001,NA,NA,1822,July,30,weather,temperature,NA,NA,NA,Fahrenheit,85,NA,
Shirley Plantation,p0001,NA,NA,1822,July,31,weather,temperature,NA,NA,NA,Fahrenheit,83,NA,
Shirley Plantation,p0001,NA,NA,1822,August,1,weather,temperature,NA,NA,NA,Fahrenheit,83,NA,
Shirley Plantation,p0001,NA,NA,1822,August,2,weather,temperature,NA,NA,NA,Fahrenheit,87,NA,
Shirley Plantation,p0001,NA,NA,1822,August,3,weather,temperature,NA,NA,NA,Fahrenheit,89,NA,
Shirley Plantation,p0001,NA,NA,1822,August,4,weather,temperature,NA,NA,NA,Fahrenheit,86,NA,
Shirley Plantation,p0001,NA,NA,1822,August,5,weather,temperature,NA,NA,NA,Fahrenheit,80,NA,
Shirley Plantation,p0001,NA,NA,1822,August,6,weather,temperature,NA,NA,NA,Fahrenheit,79,NA,
Shirley Plantation,p0001,NA,NA,1822,August,7,weather,temperature,NA,NA,NA,Fahrenheit,78,NA,
Shirley Plantation,p0001,NA,NA,1822,August,8,weather,temperature,NA,NA,NA,Fahrenheit,80,NA,
Shirley Plantation,p0001,NA,NA,1822,August,9,weather,temperature,NA,NA,NA,Fahrenheit,74,NA,
Shirley Plantation,p0001,NA,NA,1822,August,10,weather,temperature,NA,NA,NA,Fahrenheit,76,NA,
Shirley Plantation,p0001,NA,NA,1822,August,11,weather,temperature,NA,NA,NA,Fahrenheit,77,NA,
Shirley Plantation,p0001,NA,NA,1822,August,13,weather,temperature,NA,NA,NA,Fahrenheit,86.5,NA,
Shirley Plantation,p0001,NA,NA,1822,August,14,weather,temperature,NA,NA,NA,Fahrenheit,89,NA,
Shirley Plantation,p0001,NA,NA,1822,August,15,weather,temperature,NA,NA,NA,Fahrenheit,92,NA,
Shirley Plantation,p0001,NA,NA,1822,July,15,agriculture,weeding,corn,NA,NA,weeding,,NA,
Shirley Plantation,p0001,NA,NA,1822,July,15,weather,precipitation,NA,NA,NA,heavy,,NA,
Shirley Plantation,p0001,NA,NA,1822,July,16,agriculture,phenology,cotton,NA,NA,topping,,NA,
Shirley Plantation,p0001,NA,NA,1822,July,17,agriculture,weeding,corn,NA,NA,weeding,,NA,
